algorithm,coefficient_a,exponent_b,r_squared,interpretation
CPU,0.0001157298242706307,3.1018678226059224,0.9965185827649088,T(n) = 1.16e-04 * n^3.102
HybridNaive,1.4119121687254592e-05,2.5739186308055255,0.9826569650449196,T(n) = 1.41e-05 * n^2.574
HybridOptimized,6.517216472480954e-07,2.8511834701314185,0.9729357559005488,T(n) = 6.52e-07 * n^2.851
FullGPU,7.832596577150523e-06,2.6623715829367676,0.9892589795124458,T(n) = 7.83e-06 * n^2.662
