algorithm,mean_speedup,median_speedup,std_speedup,min_speedup,max_speedup,n_problems
HybridOptimized,5.451796552025425,5.720168715205926,0.9842088361090827,1.8586225157260243,6.655177344819066,38
FullGPU,1.193970655624034,1.1840202495621923,0.32618148372853967,0.6340668033428134,2.267729087708842,38
