problem,size,optimal_cost,algorithm,mean_total_time,std_total_time,mean_gap,std_gap,mean_generations,success_rate,conditional_time_to_optimal,n_repetitions
berlin52,52,7542.0,CPU,25.818781593727074,3.9244069336426506,0.16777838973543033,0.3040249476336124,4.6923076923076925,1.0,,
berlin52,52,7542.0,HybridNaive,0.5747839309992742,0.054940813393503436,0.07037513004100115,0.19164091137506556,4.846153846153846,1.0,,
berlin52,52,7542.0,HybridOptimized,0.11170611511497205,0.015788492705710012,0.2101054607021194,0.31701926589812596,4.576923076923077,1.0,,
berlin52,52,7542.0,FullGPU,0.25346234438435344,0.0851687094730728,0.0,0.0,43.5,1.0,,
bier127,127,118282.0,HybridNaive,3.027108174075474,0.2479773970021763,0.6705942642940664,0.20274959750092192,14.461538461538462,1.0,,
bier127,127,118282.0,HybridOptimized,0.5575146485776679,0.1749281587219762,0.7326363462546482,0.19696804494729994,15.692307692307692,1.0,,
bier127,127,118282.0,FullGPU,3.30456866307312,1.0264186655471015,0.4293845347429155,0.1386559252864715,73.65384615384616,1.0,,
ch130,130,6110.0,HybridNaive,3.350578397268814,0.31373905025046284,0.7239078433841117,0.19756607641614546,15.5,1.0,,
ch130,130,6110.0,HybridOptimized,0.5910722987300162,0.09605133755539026,0.6313735364471863,0.23843861221801535,15.538461538461538,1.0,,
ch130,130,6110.0,FullGPU,4.387688695694876,1.9757424888098154,0.86617147173612,0.3138978972501639,93.6923076923077,1.0,,
ch150,150,6528.0,HybridNaive,4.747112237156426,0.5606027136904517,0.7989253393665159,0.21309680534421788,19.192307692307693,1.0,,
ch150,150,6528.0,HybridOptimized,0.7917758585787081,0.08835787458768836,0.7382400075414781,0.1598758085383761,19.23076923076923,1.0,,
ch150,150,6528.0,FullGPU,5.043745096579528,1.385545090894582,0.437170060331825,0.3617629555392866,77.61538461538461,1.0,,
d198,198,15780.0,HybridNaive,8.069172286884054,0.705451055311008,0.8457638685775568,0.10879037679670833,25.307692307692307,1.0,,
d198,198,15780.0,HybridOptimized,1.5197518969978756,0.5438121449172624,0.850394852295993,0.15153185968758243,27.0,1.0,,
d198,198,15780.0,FullGPU,12.37995825842432,4.167676062166144,0.8650190114068441,0.16711350392566052,95.0,1.0,,
